preprocessed_review,sentiment
['want star service stay star hotel going feel holiday partner went well got paid forthe staff work hard blame little tired work week hour week rent room simple sleep spend lot time room nt bother going holidaythe food pleantyfull nt like look whats offered nt eat buffet eat moaning sickthe hotel ground beautiful watched wedding falmingos peacock wild duck great touchchecking hotel fine somebody offer bag politely say thats sayshopping great nt afraid venture hotel simple acceptable leave nt in feel safe going hotel bring local market hotel hotel twice weekif nt smoke people nt like people smoking near bit away single person hotel ground smoke people holiday relax want smoke nt smoke holiday chill outthe cleaning staff friendly please come valuable suitcase common sense dont panic relax remember traveling another world country operates differently england suggest visit manati park capture dolphin wild captured dolphin overworked ill ill treated dolphin died year poor condition lovely done lady work coffee shop told process getting shut disgusting condition animal kept decide remember putting money carless guy pocket'],-1
place lousy place absolutely lousy room awful staff work hard unfriendly guest staff kept waiting outside half hour late night letting avoid place cost nt let ruin amsterdam stay,-1
place stay best thing said property location room adequate common area ok checked hotel wait minute severely understaffed desk elevator room small bell staff quick jump elevator luggage cart plan minute checked room starwood preferred member arrived room appeared housekeeping staff completely finished making room needed towel pillowcase pillow left dinner stopped desk asked pillowcase bed pillow leave towel arrived dinner hour later towel pillowcase required call housekeeping attend roomthe night stayed property expected sheraton checkout process long checkin process woefully slow hotel emphasize customer service definitely reccomend,0
['awful experience avoid confused hotel scroll second negative review hotel year stayed second time manager gave great discount year experience and prepared slightly outdated room minimal service manager nt prepared incorrect hotel vastly higher charge debited account took month to fix despite problem relatively simple extra account service mixed accountant manager able solve called session time day period received finally complain in higher channel sorted room absolutely sense customer service management hotel wo nt make mistake time'],-1
smoked miami hotel home base working miami extended period know pretty room nice comfortable double suite bedroom bath live nicely long timethe negative close airport cloud diesel exhaust settle courtyard day time pool jacuzzi jump choking coughing running indoors figured pattern happens avoid complaint basically selfserve mean staff go way provide service favor instance partner left credit card desk accidentally called room tell spent day panic searching know inexplicable leave phone messageadditionally people smoke hotel including nonsmoking room nt speak spanish difficulty lot pantomiming extra towel piece soap housekeeping miami young men desk intent competing listening talking customer nt hospitality service bit harsh best type hotel town,-1
['trouble buy run hotel december th marseille hotel th james collins south beach cute property potential unfortunately look like old year neglect profit taking relegated hotel dirty noisy irritating experiencethe lobby staff moses bar concierge guy didnce unfriendly bothered deal customer different men older younger reservation desk worse call service representativesthe room decent clean considering age hall way lighting dark dismal old fashioned door lock room combined concrete wall wall long hallway caused door opening closure loudly spoken impersonate jail cell slamming closed incarcerated inmate proximately party club south beach guest come late midnight morning jail cell door slam constantly quiet reverberate dark discerning hallway expect night rest hoursthe wall insulation sound proving greeted constant flood conversation laughter door neighborsthe bathroom desperate need remodel balcony didnce really look safe stand onall hotel use super park company manage guest parking valet service outsourcing service given hotel license responsible car service needle say service completely unacceptable particular checking desk clerk claimed duty called car reality guy got queer enjoyment seeing wait knowing plane catch money buy place make special worth of going staying better of staying door street'],-1
consider hotel area hotel tolerable overnight stay knew going renovation thought finished time arrived renovation going problem think need revamp desk desk service worst service person able check help guest query time wait minute desk guy tried arrange change room existing guest noise despite stating need early check informed nt room pm able leave luggage lock room went breakfast heading conference finally got tiny room discovered really old definitely needed revamp room overlooked bike park double room barely room luggage big bag bathroom tinier big tall person wo nt able sit toilet shower derilic condition aircon blew dust nt work initially cold hot water boiling hot water scolded attempted wash hand tried desk despite phone minute ringing picked phone allwe minimal included breakfast morning nt feel safe eat cooked food check pain wait person handle check check time chose hotel close proximity cruise ship docked booked rai website conference hotel close consider make hotel absolute choice,-1
worst impression looked ok room nt ready check normal desk girl alexis friendly negative room came search rear hotel elevator entering room stale air stench overpowering room old price euro starwood embarrassed hotel stayed room old worn small fly room weathered checked nt spend minute room showed room bad clean moved amstel hotel true star,-1
['facility management decent customer service nil lemon soft boiled egg bread good live worm considered breakfast netherlands happy thinking taken picture camera post beware on arab food night food clerk nasty food temperment qualm showing fact way wife international incident reported management avail travelled extensively they received far superior treatment world service country'],-1
worst worst hotel experience life moment wife walked knew trouble carpet filthy odor lobby switched room odor room got gum stain carpet mention stain bed spreadsimply horrible,-1
['billing staff problem like reviewer sent day trip message reception sort unfortunately staff accomodating asked by recipt prove as case nt believe the booking payment processing information checked at trying work resisted task eventually fixed as problem admit problem attitude wasted half of hour sleeping time report started day baddddly'],-1
got sick trip started poorly given royal suite booked standard room especially annoying small daughter counted extra room fact paid substantially past kidsclubregarding child kidsclub toddler terrible staff disinterested poorly trained security nonexistent gate left open supervision kidparent tagging checkin activity include crayon paint inappropriate television show junglegym play area kid unless parent supervised given level staff supervision probably good thing kid walk daycare site comfortable needle say planning use service order rr away child hard relax knowing leaving nt itwithin day talked pool restaurant sick occasion numerous time unlike time travelled sickness standard stomach trouble fever diffuse jointbody ache addition nausea vomiting diarhea healthcare professional took normal travelling precaution using probioticnatural intestinal flora supplement digestive enzyme supplement daily worked perfectly past prevent travel sickness experience make suspicious quality trainingprocedure food preparation facility sanitation occasion witnessed stagnantpond water used mop walkway floor area adjacent pool eating area jacuzzis safe practice come mattress smelled extremely wellused firmer comfortable friend cotravellers daily morning pain hardness bed thankfully morning swim usually took care town chiropractic careif sensitive environmental allergy beware air conditioning reek moldsmildews unpleasant odor room ac actually reeked like urine turned nt ask nice separate vip buffet private pool area food selection poor main buffet make sure seafood meat cooked eventually help avoid sickness avoid uncooked salad unprocessed fruit wife friend pina colada mix bad drink left nausea hour laterhaving stayed different resort punta cana year aware english poorly spoken poor matter alot health safety issue realize important really istipping staff especially maid service essential expect towel fridge beverage refreshed note beverage strawberryanything drink grenadine coctails terribly sweet margarita coladas beach nice decent chair unbrellas hut kid playing sand suffered numerous bug bite left looking like small pox victim luckily bite itchy unsightly make sure kid bathing suit extends cover thigh kid pain sand rash inner thigh surf high sand sediment seaweed creating alot playful abrasion strange reason collect canada use number calling card service cost connect canadian operator minute plus charge thank god internet cell phone verizon virgin att maybe service converted orange work expensive minute golf course called cocotal played cost person cart rental club course nice quite forgiving fasttrue green great hole use started hibiscus hole proceeded bougainvillea hole rarely play benjamina likely earlier start time playing time ranged hour longer teed later obviously food drink day saw beverage cart wondering water hazard none hole oceanwe travelled air transat year return flight rescheduled arrived home hour later originally booked discussion flight passenger unusual air transat fine nt small child way past bedtime nt need work day like plus weather great water warm supposed relatively short flight airtransat drive airport hotel hope info helpful,0
rincon beach overrated suite far expected web site price worn somewhat dirty water pressure shower torn tile bath area tourist area shopping snorkeling water activity outsike resort nonexistent enjoyed beach night headed san juan rest visit decent hotel want lay beach saturday night occupied loud wedding accommodation paying guestson site restaurant okay amazing lack fruit vegetable caribbean islandi think resort local offer tourist,-1
nightmare elm street overall hotel bad room room suite food okay great problem car broken day stay contacted desk told break attitude oh really asked speak deck manager returned obviously nt care problem talking emplyees car break in quite problem area property hire offsite security drive late evening hour park car risk better stay,-1
['hot camp conquistador going caribbean president week first year know expensive non crowded time travel choice school year decided try el conquistadorchildren outnumbered adult quiet lounge place poolside private beach turn chair foot inch nosethe restaurant supposed good mind paying good meal case stingray strip steak house northern italian otello biggest rip food certainly northern italian stretch imagination terrible expensiveyou need make dinner reservation restaurant week luckbreakfast varied local place place water dried waffle riduculous lunch tiny tasteless frozen pizza how ridiculous wellthink twice seeking peace quiet table pres week'],0
good bad cockroach husband family stayed caribe club princess november november adult age kid booked vacation thinking hotel fact star represented sunwing vacation disappointed discover hotel fact rated star hotel following reason commence arrived hotel told room ready fine problem completely understand take time order room cleaned told return lobby desk pm pm returned lobby desk told yes room ready floor advised couple like stay floor specifically requested nd rd floor room couple travelled small child didnçé want stay floor fear child open sliding door walking awaiting accommodated nd rd floor witnessed complaint couple staying tropical princess room broken sliding door located floor room went talk lobby reception advised offer room floor saturday day floor point lady came advised gentleman dealing spanish offer room room gentleman lady disappeared came told room second floorat point happy know finally room arrived room discovered placed tropical princess resort fact booked caribe club princess big issue considering fact paid money stay caribe club princess disappointed expressed concern manager client relation advised moment room available agreed stay room following day told available caribe club princess couple travelling went room went scanned card let room discovered naked lady room assigned didnçé speak word english luckily manager premise advised reception issued key room assigned unacceptable behavior great security risk hotel doesnçé know room allotting people point frustrated dream vacation envisioned went reception friend advised trouble room unable explain mistake giving elseçé room key happened place room assigned tropical princess utterly disgusting outdated balcony door lock broken door lock tampered point feel safe hotel told night place caribe club princess sidethe day thankfully promised moved room caribe club princess started feel vacation going good happened allon tuesday november reservation mamma mia italian restaurant dinner couple travelling arrived restaurant going ordered appetizer husband order calamari husband ordered bruschetta appetizer delivered saw husband staring plate disbelief plate cockroach believe seeing staying star hotel husband delivered bruschetta cockroach cockroach dead leg air appeared cooked cheese plate point lost appetite got left restaurant called server door advised happened happened huge scene didnçé want disgust patron restaurant point went buffet fruit starving buffet little greeted food service manager milton chef mamma mia restaurant apologized offered complimentary dinner el pescador la cava worry advised think let know day day breakfast milton approached asked decision advised el pescador night night went el pescador dining hotel seen cockroach didnçé eat disgusted rest stay needle say able eat normally rest weekon thursday november th approached concierge lady advising hotel told incident hotel wanted offer dinner compensation happened advised dinner previous night way feel compensated happened able enjoy meal asked consider advised accepted offer sign release form basically stated dinner compensation cockroach plate food make claim hotel management tour operator situation occurred advised signing release form felt including tour operator aware type food served people hotel happy thisneedless say friday morning came happy leaving hotel time upset spend money going hotel rated star serving cockroach foodwe disappointed happened time supposed resting vacation visit princess resorthope review help realize sanitary place,-1
['small room curteous desk location excellent right beverly center place shopping mall center room small small left spot room family felt dizzy stomach strange complain redwhite wine cheese reception evening bad soda cold water dinner kid quick restock food morning coffee breakfast quite literally good fresh bagel fruit newton special cereal worker suit curteous'],0
['sad decline tend agree recent negative review beautiful slipping property overall staff distracted uncertain case clearly uncertainty regarded future plan management pool process removing cabana resulting temporary staff loss open pool space can lack shade umbrella agree reviewer indicated plumeria declined addition mediocre food staff confused fact overall personnel lack in management oversight resulting confused somewhat distracted employee remembered their previous camping trip signature restaurant hoku reopened remodeling food quite good room service confused distracted employee forget open wine room but delightful major upgrade order'],-1
['convenientgood need price airport place hotel who needed an overnight hotel bed near airport room compact clean weather typical hotel bed price range in located minute airport shuttle let come minute service desk indifferent bordering rude needed acceptable'],-1
['worth price date stay november family arrived hotel conference date guest listed arrived decided valet car parked inside selfparking lot knew long walk self parking lot good minute walk hotel room one night lot extremely dark confusing manage odd layout hotel concerning lack security parking lot lot merely open come serve lot overnight guest share temporary visitor way hotel discern parked despite safety distance issue hotel charged selfparkingonce arrived upgraded cottage room little know mistake arrived cottage room decidely underwhelming room cost room small badly cold renovated bath smaller still expected room caliber hotel heating work desert cold night hot water ran minute minute fine person familythe checkin attendant upgrading room stated semiprivate room overlooking main ground semiprivate mean hearing honeymoon couple door drunken noise bar attendant right window old mean double glazing summer heat sound view ground hedge grown ca nt sitting patio furniture stand noticed problem lot cottage reason hedge grown high amenity right cottage room chess puttputt amenity touted immediately cottage room mean little johnny miss putting shot coming roomhouseekeping pretty decent weird choice day given washcloth day cloth removed replaced bath mat mat removed wellone day trip decided drop kid kid korral touted baby sitting the option arrived noticed entrance korral reached access road commerical delivery playground dierctly accross korral separated construction access road avoiding truck pain disconcerting door korral room open access road direct supervision korral attendant seated immediately outside korral room precocous child trying playground construction access area equal size disaster oh forgot mention basketball court playground open lot power construction tool plugged laying aroundthe hotel cost usually arbitrary chocolate cookie charged cafe cookie pool used bottled water room listed checked water miniscule amunts food paled comparison overpriced food cafe restaraunt wildy overpriced quality cafe serve lost childfriendly breakfast food forced order takeout restaruant ordered oatmeal dinner given starbucks coffee cupthe day stay straw family got early pack trip home glad head housekeeper opened door room inquire leaving despite hotel policy noon checkout time completely unprofessional entering room permission housekeeper actually gave attitude leaving earlier apology attitude way property saw contractor hotel condo construction project fishing aqueduct near property contractor actually taking selfparking spot clientele fishing management focused time obtaining conference selling condo forgotten basic customer service'],-1
['good horrible times stay late bad staff room horrible lost staff unwiling assist this hotel without booking despite confirmed email manager all wanted book star this hotel refusing got think worst room terrible placebreakfast choicewould stay good hotel'],-1
awful incredibly disappointed hotel nt ruin trip san francisco staying hotel shabby air conditioning kind window open air mean hear street noise traffic city street furthermore open window noisy let bunch fly rid room smelly shabby noisy way recommend san francisco time year year honestly tell better place stay price lovely city avoid place,-1
appalling disregard guest wellbeing ala daubusson praised huge disappointment booked suite daubusson rave review suite expensive dreary looked room showed wear tear example stained carpet believe hotel true character decoration response problem despite daily instruction spray used room despite disturb sign door came chambermaid spraying room air freshener severe asthmatic reaction chemical health problem deal staff including manager aloof disinterested eventually form note apology sent room absolutely offer help attempt remediation received response manager called housekeeping staff eventually supervisor came room fan offered assistance room spraying mistake utter disinterest addressing problem appallingif leaving paris day moved hotel immediately obviously wo nt returning daubusson,-1
['worst romantic honeymoon trip worst honeymoon camping trip nt go service desk terrible food wa nt stay great okay in italian good taste sea food okay fish bit lobster tail wow entertainment terrible life like sheet changed everyday bad thing maid good guess only sheet bed with eveyday got his bite'],0
['terrible hotel service ignorant staff reading great review hotel decided book night march hotels location nasty surprise really way residential area far downtown around barcelona hotels worst attribute terrible service receptions many young staff spoke hardly english usually clueless going around hotel hardly knew some anyhting names regarding citys attraction bad attitudeto day he stayed hotel leave early morning meeting return afternoon room unmade staff who tried make excuse for inefficiencyto cut long story short hotel worth price'],-1
['booked resort received magnificent deal cheapcaribbeancom a mistake room problem day husband left home morning catch flight room hotel air conditioner working properly instead changing room kept stop sending engineer time engineer said needed change thermostat husband stair request room change night bc wanted sleep long day want room change year bc said fixing problem changing thermostat female obviously going little finally requesting manager got room changethe room rio mar standard hotel pay claim court luxurious hotel room far nt clean with hair dust floor walked stain carpet sheet room plain nothing special allwhen received hotel checkout charged night valet parking husband selfparked next week asked change girl desk started speaking spanish girl desk doubting honesty selfparking but unfortunately understand spanish pissed situation kelly desk continued argue saying big deal spoke spanish upset level service writing letter wyndham corporate especially lack customer serviceoverall say husband got great deal nt worth stayed better place puerto rico nt let wyndham ruin experience beautiful island'],-1
['the location lastminutecomau island mystery room of night said star story hotel think pushing star hotel staff meeting lovely helpful location exceptional felt ripped room internet mb max charge work room internet hour madness hotel room bad lighting paint job appeared fairly clean is little tired worth night nt pay'],0
bad get night hotel cost bad experience encountered marriott hotel pleasant management totally ineffective resolving issue brought attention general manager particularly ill ease hotel avoided guest feedbackdespite call hotel room dvisions manager prior arrival assigned room way promised guaranteedfood tood english restaurant barely edible service spot wish food chef capabilitiesevery department room service housekeeping managed repeatedly provide service lowest standardan absolute disaster,-1
hated hilton time square location good broadway macys recommend people dislike noise crowd time square claustrophobic deluxe room extra large nice view rd floor soundproofed room clean staff helpful especially bell boy air conditioning public lobby served reception bar restaurant inadequate area stuffy suffered food smell coming restaurant area drink unispiring expensive patch exotic cocktail available half price restaurant road dinner menu expensive braised vegetable came steak bitter inedible stay time square area fact preferred radisson lexington avenue,-1
['visitor facility gone againbeautiful location parking lot little girl problem location transformed staying bad pleasure experience tour closed restaurant closed august apprecciated payed dollar room rack trip rate at dollar'],-1
total nightmare came day ago nightmareno speak english resortsdo nt expect help staffour door lock broken day contacted desk time fixed chair door knob night day room mercy resortsthe desk staff fun laughed asked place shower change day check waiting ride airport hoursthe drink water downed ice glassstaff impolite extremely rude nt speak spanish black listroom dirty leaking ceiling washroom humid bulb broken dangerously hanging holder workingentertainment spanish boring spent minute time gave lefttv spanish cnn english language porn movie food ok buffet good resturants useless waste timethere service pool fetch drink,-1
hospitible bad experience overal travelled world worst initiated cash cow timeshare preasure little hospitality assistance need rated priced multitude time asked staff refil frige water pop hastle,-1
hated stayed hotel conference saving grace nt pay poor value rate chargesit obvious investment hotel lobby marble happened room bathroom relatively new good water pressure hotel stayed bedroom area definitely use updating mattress hotel built year ago husband accidentally fell bed sat close edge color dreary depressing aroundfriends staying hotel number exciting experience ranging shower nt work room smelled really baddefinitely recommended,-1
['desk staff ruin holiday mood date stay reserved room month ago gave room checking none hotel staff members talked directly apology originally promised refund of room nt night confirmed staff was offered breakfast room upgrade apology sqeezing room went home said breakfast room upgrade offered compensate room phone charge trying let incident ruin mood kept irritating staff called don alberto friendly responsive talked desk supervisor date refund felt like group beggers causing troble asking money email sent gm night subject general manager named alimara hotel complain fromhotel guestdear sirmadam existing hotel guest staying room furious disappointed poor service disaster recoverywe reserved confirmed doublebed room th nearly month ago ca nt believe got desk staff offered room number told hotel checked pm nd head desk supervisor excuse electricity problem room desk staff mentioned asked couple group taxi stay place kept saying really tired couple really want stay hotel supervisor wanted couple choice demanded additional bed stay room surprisingly desk asked stay room room set bed leave joke room assigned room extra bed delivered min got security guard bed sheet stayed staff expecting set extra bed pm socalled star hotel couldt sleep poor arrangement hotel really nt think deserve holidayyours sincerely'],-1
['read job booking good rate want place sleep hotel wanting hotel little extra book study hotel honeymoon in july disappointed read review research hotel the internet claimed serve breakfast room deliver paper room brief walk beach breakfast lobby know us hotel serve lobby nt claim room nt receive sunday paper called ask respond saying nt deliver sunday paper real bad construction going street loud early morining know ca nt help hotel mention website think brief statement construction helpful future customer construction block quick beach access expect minute walk booked offer massage overbooked by husband sent aqua bamboo mile away agree it told come cab pm nt leave hate admit like bamboo hotel better deluxe view woth money know small thing in reason booked hotel miltary discount thought attention overcome fact away beach nt tripadvisor exactly job rest stay hawaii maui big island time hotel earned rating recommend hotel time way charged twice deposit check allow time without mistake'],-1
['inside lovely outdoor reception area window room let little space day light dangerous wiring emergency plug socket replacement dirty carpet paint job no inexpensive lighting right centre dam square resort small coffee shop entrance hotel convienient tourists visit'],-1
['doublebooking for fiasco stayed nice polite staff probably position write review hotel beause stay doublebooking fiasco owl staff make moving hotel street liedse got unhappy heard news receptionist nice person travelled way london dragging suitcase way hotel told to ca nt stay receptionist polite truly sorry doublebooking fiasco hotelnl website bug sort glitch website let reserve owl room actually overbooked normally nice person encountering situation crisis like way receptionist apology fair treatment efficient choice check alternative hotel forgive terrible without mistake missing booking wanted owl credit ability damage control care agency customer course really cared nt online glitch think compensated way handled with mistake accident'],-1
dissapointed stayed occassions busy hotel lot business travellersthey try hard efficient guest doesnt workon stay allocated terribly room room view corner hotel making strange shaped room tv close bed making hard watchon check complained room asked make sure came week later better roomon check asked better room room available king size bed non smoking thing specifically requested ended smoking room room corner room strange configuration room smelt cigarette sore throat morningthis hotel personal service take notice return gueststhe reason stay fantastic location huge shopping centre underneath shopping need cant past locationi dissapointed stay need new hotel frequent,-1
['terrible vacation vacationed use term loosely barcelo dominican beach aug th aug th party consisted husband yr old sonswe booked vacation apple tour got pretty good deal person vacationed apple past normally stayed apple resort rated apple thought okay stayed inside barcelo resort mexico happy exceptionupon arrival told stay wait approx hour room ready real problem main problem fact staff spoke english rude time problem door lock took hour fix called trip desk long walk night extremely tired grouchy staff care seeemed annoyed usthe second day started trip beach quite long distance walk beach lot palm shade problem lot seaweed boat wheel atraffic little shanty town vendor area right beach constantly harassed vendor hotel let let come right beach stalked day terrible trip beach unenjoyablethe pool closest room nice big pool overly crowded place lost umbrella water hot really hot food fine lot crew selection problemsour room bat lizard night and towel crack door small crawl underif booked good vacation resort highly recommend brush spanish good physical condition trip complex huge'],-1
beautiful city horrible hotel stayed night tour italy expecting star hotel instead barely deserving star ratingok start maybe dark dingy room pathetic excuse bathroom hotel bar open let start room small dark noisy wall hear door furniture rickety attepted bedside table stuck wall slide obviously condensation problem hotel room smell indeednext bathroom small dark barely shower tiny nt lean wash foot water pressure virtually non existant shower head seen better daysi agree reviewer location hotel definitely stay hesitant walking husband nt bad area decidedly unwholesome female travellersthe downside hotel advertises roof bar open whilst day fact hotel bar open positive presence pool cool afternoon pool area keptall florence city stunning circumstance stay hotel,-1
['cramped noisy overrated suite husband stayed real hotel midjuly horrible hotel experience superior a queen room incredibly cramped noise elevator guest room nearly impossible sleep night hotel promise and amenity wireless internet access room nt working day felt like summer paid place event set sour tone event beginning vacation celebration night cancelled rest stay booked new hotel'],0
['a city pick up pocket a basic hotel room cleaned daily facility reception staff never came home shot until dawn personallities the got house robbed day told acted nt toss'],0
hotel average stayed hotel business breakfast horrible seven day trip room service ok english speaking channel tv rest come bad recption room nice service ok good location close shopping orchard rd plenty thing area spa hotel disappointment look hotel singapore,-1
